Title,Site address,Subsite Count,Size (MB),Site owners,Migrate,SP Site Template,Batch
ITMS,https://piritahi.cohesion.net.nz/Sites/DISM/SVM/ITMS/,,196,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,3
Farms Online,https://piritahi.cohesion.net.nz/Sites/DISM/SVM/FO/,,9113.6,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,3
Border Apps,https://piritahi.cohesion.net.nz/Sites/DISM/SVM/BCS - CEMS/,,1740.8,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,3
Application & Service Management,https://piritahi.cohesion.net.nz/Sites/DISM/SVM/,,200089.6,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,3
,,,,,,,
Biosecurity ICT Blog,https://piritahi.cohesion.net.nz/Sites/DISM/ICTPM/BIOICT/BIOICTBLOG/,,1.1,Melissa Burt,,,4
Biosecurity ICT,https://piritahi.cohesion.net.nz/Sites/DISM/ICTPM/BIOICT/,,974.2,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
ICT Portfolio Management,https://piritahi.cohesion.net.nz/Sites/DISM/ICTPM/,,10035.2,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
"Research, Technology & Innovation",https://piritahi.cohesion.net.nz/Sites/DISM/ICTL/RTI/,,4915.2,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
Data & Information Architecture,https://piritahi.cohesion.net.nz/Sites/DISM/ICTL/DIA/,,5017.6,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
ICT Leadership,https://piritahi.cohesion.net.nz/Sites/DISM/ICTL/,,31539.2,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
Advisory,https://piritahi.cohesion.net.nz/Sites/DISM/IAD/Advisory/,,1126.4,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
Business Intelligence Portal,https://piritahi.cohesion.net.nz/Sites/DISM/IAD/BI/,,1536,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
Analytics,https://piritahi.cohesion.net.nz/Sites/DISM/IAD/Analytics/,,84889.6,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
Data and Information,https://piritahi.cohesion.net.nz/Sites/DISM/IAD/,,252211.2,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
Business Engagement,https://piritahi.cohesion.net.nz/Sites/DISM/BE/,,2150.4,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
Digital Portfolio Office,https://piritahi.cohesion.net.nz/Sites/DISM/DPO/,,3174.4,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
ICT Security Management,https://piritahi.cohesion.net.nz/Sites/DISM/ICTSM/,,58265.6,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,No,,4
Geospatial,https://piritahi.cohesion.net.nz/Sites/DISM/IAD/GEO/,,76.6,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
"Data, Information and Systems Management",https://piritahi.cohesion.net.nz/Sites/DISM/,,584198.29,MPI-Piritahi_Administrator_Owner; Piritahi Site Admin,,,4
,,,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/AADS,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BCTW,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BIT/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BMTCP,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BMTVP,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BSDMMP/,8,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BSDMMP/DNS/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BSDMP,5,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BSDMP/MDP,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BSDMP/MIC,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BSDMP/MTP/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/BTISLWM/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/CMSR/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/CRM/,1,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/CS/BIP,4,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/CS/ISSP/,22,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/CS/ISSP/ECMS,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/CS/ISSP/EVP,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/CS/ISSP/IEMRS,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/DMS/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/ECMSM,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/EEMP/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/EFUC/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/EOPD,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/FSRP/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/GPMP/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/IARMSP/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/LTLSP/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/MSDP,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/MyMPIPortal/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/NFRAP/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/NGAS/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/NZFARP/,0,,,,,
,https://piritahi.cohesion.net.nz/Sites/PRO/SFE/,0,,,,,
