"SiteName","ShortCode","Template","StartTime","FinishTime","TotalProvisioningTimeMinutes"
"Script Test Site 02","SCR_HUB_SITE_04","Community Site Template","25/11/2024 11:46:17 am","25/11/2024 11:47:28 am","1"
"Script Test Site 03","SCR_HUB_SITE_05","Community Site Template","25/11/2024 11:47:28 am","25/11/2024 11:48:14 am","0"
