"SiteName","ShortCode","Template","StartTime","FinishTime","TotalProvisioningTimeMinutes"
"Script Test Hub","SCR_HUB","Hub Template","25/11/2024 10:45:11 am","25/11/2024 10:46:48 am","1"
"Script Test Site","SCR_HUB_SITE_01","Community Site Template","25/11/2024 10:46:49 am","25/11/2024 10:47:55 am","1"
