"SiteName","ShortCode","Template","StartTime","FinishTime","TotalProvisioningTimeMinutes"
"Script Test Site 02","SCR_HUB_SITE_02","Community Site Template","25/11/2024 10:51:18 am","25/11/2024 10:53:09 am","1"
"Script Test Site 03","SCR_HUB_SITE_03","Community Site Template","25/11/2024 10:53:09 am","25/11/2024 10:54:58 am","1"
