"SiteName","ShortCode","Template","StartTime","FinishTime","TotalProvisioningTimeMinutes"
"Script Test Site 02","SCR_HUB_SITE_04","Community Site Template","25/11/2024 11:54:59 am","25/11/2024 11:55:45 am","0"
"Script Test Site 03","SCR_HUB_SITE_05","Community Site Template","25/11/2024 11:55:45 am","25/11/2024 11:56:30 am","0"
