"SiteName","ShortCode","Template","StartTime","FinishTime","TotalProvisioningTimeMinutes"
"Script Test Site 02","SCR_HUB_SITE_04","Community Site Template","25/11/2024 1:16:13 pm","25/11/2024 1:16:20 pm","0"
"Script Test Site 03","SCR_HUB_SITE_05","Community Site Template","25/11/2024 1:16:20 pm","25/11/2024 1:16:28 pm","0"
