"SiteName","ShortCode","Template","StartTime","FinishTime","TotalProvisioningTimeMinutes"
"Script Test Site 02","SCR_HUB_SITE_04","Community Site Template","25/11/2024 1:11:35 pm","25/11/2024 1:12:03 pm","0"
"Script Test Site 03","SCR_HUB_SITE_05","Community Site Template","25/11/2024 1:12:03 pm","25/11/2024 1:15:02 pm","2"
